cite,title,year,venue,paradigm,stage,paper_role,privacy_notion,attack_or_defense,modality,threat_model,assumptions,used_in_figure2,used_in_taxonomy,notes
39,Threats to federated learning: A survey,2020,IEEE TNNLS,FL,NA,survey,multi,survey,mixed,NA,survey/reference taxonomy,yes,no,survey landscape / framing
40,"The federation strikes back: A survey of federated learning privacy attacks, defenses, applications, and policy landscape",2025,ACM Computing Surveys,FL,NA,survey,multi,survey,mixed,NA,survey/reference taxonomy,yes,no,survey landscape / framing
41,On the opportunities and risks of foundation models,2021,arXiv,FM,NA,system,NA,system,mixed,NA,system design creates privacy surface,yes,no,
42,Privacy issues in large language models: A survey,2023,arXiv,FM,NA,survey,multi,survey,text,NA,survey/reference taxonomy,yes,no,survey landscape / framing
43,"A survey on large language model (llm) security and privacy: The good, the bad, and the ugly",2024,High-Confidence Computing,FM,NA,survey,multi,survey,text,NA,survey/reference taxonomy,yes,no,survey landscape / framing
44,Preserving privacy in large language models: A survey on current threats and solutions,2025,TMLR,FM,NA,survey,multi,survey,text,NA,survey/reference taxonomy,yes,no,survey landscape / framing
45,A survey on privacy risks and protection in large language models,2025,arXiv,FM,NA,survey,multi,survey,text,NA,survey/reference taxonomy,yes,no,survey landscape / framing
46,"When foundation model meets federated learning: Motivations, challenges, and future directions",2023,arXiv,FL∩FM,"U,D",survey,multi,survey,mixed,NA,survey/reference taxonomy,yes,yes,survey landscape / framing
47,Integration of large language models and federated learning,2024,arXiv,FL∩FM,"U,D",survey,multi,survey,mixed;text,NA,survey/reference taxonomy,yes,yes,survey landscape / framing
48,"Federated large language model: Solutions, challenges and future directions",2024,IEEE Wireless Communications,FL∩FM,"U,D",survey,multi,survey,mixed;text,NA,survey/reference taxonomy,yes,yes,survey landscape / framing
49,Federated large language models: Current progress and future directions,2024,arXiv,FL∩FM,"U,D",survey,multi,survey,mixed;text,NA,survey/reference taxonomy,yes,yes,survey landscape / framing
50,A survey on federated fine-tuning of large language models,2025,arXiv,FL∩FM,"U,D",survey,multi,survey,mixed;text,NA,survey/reference taxonomy,yes,yes,survey landscape / framing
51,Advances and open challenges in federated foundation models,2026,IEEE Communications Surveys & Tutorials,FL∩FM,"U,D",survey,multi,survey,mixed,NA,survey/reference taxonomy,yes,yes,survey landscape / framing
52,When the curious abandon honesty: Federated learning is not private,2023,EuroS&P,FL,NA,attack,NA,attack,NA,NA,general,no,no,
53,Panning for gold in federated learning: Targeted text extraction under arbitrarily large-scale aggregation,2023,ICLR,FL,NA,attack,reconstruction,attack,NA,A,artifact visibility sufficient for reconstruction,no,no,
54,Federated learning and privacy: Building privacy-preserving systems for machine learning and data science on decentralized data,2021,Queue,FL,NA,survey,multi,survey,mixed,NA,survey/reference taxonomy,yes,no,survey landscape / framing
55,Privacy backdoors: Enhancing membership inference through poisoning pre-trained models,2024,NeurIPS,FM,NA,attack,backdoor_privacy;membership,attack,text,C,member/non-member distinguishability; compromised or manipulated artifact,no,no,
56,Analysis of privacy leakage in federated large language models,2024,AISTATS,FL∩FM,U,attack,NA,attack,text,C,per-round communicated updates,yes,yes,intersection paper
57,Differentially private low-rank adaptation of large language model using federated learning,2025,ACM TMIS,FL∩FM,U,defense,multi,defense,text,NA,per-round communicated updates; mitigation/evaluation setting,yes,yes,intersection paper
58,Deep models under the gan: Information leakage from collaborative deep learning,2017,CCS,FL,NA,attack,reconstruction,attack,NA,A,artifact visibility sufficient for reconstruction,yes,no,
59,Differentially private federated learning: A client level perspective,2017,arXiv,FL,NA,defense,multi,defense,NA,NA,mitigation/evaluation setting,yes,no,
60,Membership inference attacks against machine learning models,2017,IEEE S&P,FL,NA,attack,membership,attack,NA,NA,member/non-member distinguishability,yes,no,
